,communicate,do not communcate
0,36.88319603618052,41.168675240491474
1,54.287135588673564,70.29003112550366
2,169.74124200821075,182.3483896180675
3,189.99999999999716,199.99999999986562
4,-8.884800278767115,0.9741016348538899
5,189.99999999999716,199.99999999999716
6,-107.51626309875864,-101.32554108772153
7,6.595079665749661,15.099775655543725
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,24.166830283796532,33.1982467924466
12,-3.7517891653617568,8.09100701975649
13,-5.440794495876241,-5.1614872758925525
14,-59.96536895140534,-50.01844127239898
15,15.919983523163886,27.018702729040232
16,-10.164363036400392,-10.026730178505211
17,-59.82397744960422,-50.08525405540934
18,-5.188965150981547,-5.824604414086802
19,-63.494312150264044,-55.18117262089562
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,379.99999999999716,399.99999999999716
24,-308.29893049731726,-299.99999999999716
25,-44.78132651478768,-47.11704198482193
26,379.99999999999716,399.99999999999716
27,-235.5899014718186,-299.82154444869735
28,0.0,0.0
29,227.7398318784145,30.90212222883196
30,0.0,0.0
31,-233.93539319627004,-299.9983826607216
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,-47.5335132496398,-47.11704198482193
37,0.0,0.0
38,0.0,0.0
39,-295.99998632963826,-295.81130287489106
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,-9.104653120138455
44,0.0,-49.462420414826056
45,0.0,-6.123948850051601
46,0.0,-49.999999999999645
47,0.0,-49.93867397709168
48,0.0,0.0
49,0.0,-13.384831517280116
50,0.0,0.0
51,0.0,-49.99589311872936
52,0.0,75.0611937121078
53,0.0,-49.999999942476066
54,0.0,-49.999999999999645
55,0.0,29.406073332777062
56,0.0,10.386672138776058
57,0.0,-49.999999999999645
58,0.0,-49.999999999999645
59,0.0,-49.999999999999645
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,-299.99999999999716
65,0.0,-269.04896090952695
66,0.0,399.99999999999716
67,0.0,-299.99999999999716
68,0.0,0.0
69,0.0,399.99999999999716
70,0.0,0.0
71,0.0,-299.99999999999716
72,0.0,0.0
73,0.0,-95.23362149688383
74,0.0,0.0
75,0.0,0.0
76,0.0,-299.99999999999716
77,0.0,0.0
78,0.0,0.0
79,0.0,-299.99999999999716
