,do not communcate,communicate
0,-0.04568390675400127,-10.029578615326713
1,-0.3621442335415867,-9.752580187157411
2,-0.001463508704687656,-6.945444561727046
3,0.0,-3.377179590160163
4,-0.01200102420056512,-8.688722874551175
5,0.0,-6.112160819257729
6,-0.12649388390981134,-0.199
7,0.0,-4.583149240331462
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,-8.576925122179116
12,0.0,-0.1
13,0.0,0.0
14,0.0,-0.199
15,0.0,-2.528279056684036
16,0.0,0.0
17,0.0,-0.199
18,0.0,0.0
19,0.0,-7.237483323007915
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,-3.310282414303195
24,-21.154457014600826,-21.745150598365203
25,-1.0,-1.1
26,0.0,-2.2995685419484473
27,-1.8838162474836406,-6.2771099999999995
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,-10.195534900000002
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,-4.90099501,-4.3344389
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,-203.51677679925012,0.0
65,-52.94133584143498,0.0
66,0.0,0.0
67,-158.5184674421057,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,-287.82287997338653,0.0
72,0.0,0.0
73,-2.9701,0.0
74,0.0,0.0
75,0.0,0.0
76,-21.4321859192781,0.0
77,0.0,0.0
78,0.0,0.0
79,-99.99999999999929,0.0
